municipio_id,municipio_nome,uf,ano,pib_total_mil_reais,populacao_estimada
2200053,Acauã,PI,2020,62584.0,7102
2200053,Acauã,PI,2021,73561.0,7119
2200103,Agricolândia,PI,2020,43349.0,5131
2200103,Agricolândia,PI,2021,47283.0,5123
2200202,Água Branca,PI,2020,218514.0,17470
2200202,Água Branca,PI,2021,243971.0,17525
2200251,Alagoinha do Piauí,PI,2020,67200.0,7665
2200251,Alagoinha do Piauí,PI,2021,65442.0,7678
2200277,Alegrete do Piauí,PI,2020,55057.0,4918
2200277,Alegrete do Piauí,PI,2021,48184.0,4921
2200301,Alto Longá,PI,2020,119487.0,14339
2200301,Alto Longá,PI,2021,130955.0,14371
2200400,Altos,PI,2020,476989.0,40605
2200400,Altos,PI,2021,537774.0,40681
2200459,Alvorada do Gurguéia,PI,2020,74585.0,5445
2200459,Alvorada do Gurguéia,PI,2021,82125.0,5469
2200509,Amarante,PI,2020,182047.0,17604
2200509,Amarante,PI,2021,192592.0,17609
2200608,Angical do Piauí,PI,2020,66750.0,6783
2200608,Angical do Piauí,PI,2021,66748.0,6779
2200707,Anísio de Abreu,PI,2020,92246.0,9938
2200707,Anísio de Abreu,PI,2021,98945.0,9994
2200806,Antônio Almeida,PI,2020,133082.0,3170
2200806,Antônio Almeida,PI,2021,143815.0,3175
2200905,Aroazes,PI,2020,55335.0,5827
2200905,Aroazes,PI,2021,57305.0,5819
2200954,Aroeiras do Itaim,PI,2020,25690.0,2551
2200954,Aroeiras do Itaim,PI,2021,24625.0,2551
2201002,Arraial,PI,2020,44231.0,4720
2201002,Arraial,PI,2021,48922.0,4713
2201051,Assunção do Piauí,PI,2020,55220.0,7863
2201051,Assunção do Piauí,PI,2021,64266.0,7879
2201101,Avelino Lopes,PI,2020,89540.0,11326
2201101,Avelino Lopes,PI,2021,97601.0,11361
2201150,Baixa Grande do Ribeiro,PI,2020,1229454.0,11671
2201150,Baixa Grande do Ribeiro,PI,2021,1768579.0,11751
2201176,Barra D'Alcântara,PI,2020,40152.0,3952
2201176,Barra D'Alcântara,PI,2021,38963.0,3953
2201200,Barras,PI,2020,468844.0,47185
2201200,Barras,PI,2021,497599.0,47298
2201309,Barreiras do Piauí,PI,2020,125685.0,3352
2201309,Barreiras do Piauí,PI,2021,163172.0,3356
2201408,Barro Duro,PI,2020,85179.0,7027
2201408,Barro Duro,PI,2021,89830.0,7022
2201507,Batalha,PI,2020,218227.0,26905
2201507,Batalha,PI,2021,250803.0,26951
2201556,Bela Vista do Piauí,PI,2020,44082.0,4030
2201556,Bela Vista do Piauí,PI,2021,46876.0,4044
2201572,Belém do Piauí,PI,2020,39783.0,3587
2201572,Belém do Piauí,PI,2021,41264.0,3607
2201606,Beneditinos,PI,2020,88636.0,10473
2201606,Beneditinos,PI,2021,91895.0,10479
2201705,Bertolínia,PI,2020,69486.0,5507
2201705,Bertolínia,PI,2021,72158.0,5512
2201739,Betânia do Piauí,PI,2020,57089.0,6210
2201739,Betânia do Piauí,PI,2021,62561.0,6214
2201770,Boa Hora,PI,2020,63531.0,6815
2201770,Boa Hora,PI,2021,62507.0,6848
2201804,Bocaina,PI,2020,53110.0,4505
2201804,Bocaina,PI,2021,47772.0,4509
2201903,Bom Jesus,PI,2020,1129103.0,25387
2201903,Bom Jesus,PI,2021,1410185.0,25584
2201919,Bom Princípio do Piauí,PI,2020,62280.0,5651
2201919,Bom Princípio do Piauí,PI,2021,70166.0,5670
2201929,Bonfim do Piauí,PI,2020,48890.0,5685
2201929,Bonfim do Piauí,PI,2021,52945.0,5700
2201945,Boqueirão do Piauí,PI,2020,51619.0,6426
2201945,Boqueirão do Piauí,PI,2021,51725.0,6443
2201960,Brasileira,PI,2020,65218.0,8347
2201960,Brasileira,PI,2021,69324.0,8364
2201988,Brejo do Piauí,PI,2020,38877.0,3848
2201988,Brejo do Piauí,PI,2021,43978.0,3824
2202000,Buriti dos Lopes,PI,2020,192765.0,19807
2202000,Buriti dos Lopes,PI,2021,214747.0,19832
2202026,Buriti dos Montes,PI,2020,69078.0,8264
2202026,Buriti dos Montes,PI,2021,69690.0,8282
2202059,Cabeceiras do Piauí,PI,2020,79299.0,10630
2202059,Cabeceiras do Piauí,PI,2021,86134.0,10671
2202075,Cajazeiras do Piauí,PI,2020,30318.0,3573
2202075,Cajazeiras do Piauí,PI,2021,34182.0,3586
2202083,Cajueiro da Praia,PI,2020,92555.0,7674
2202083,Cajueiro da Praia,PI,2021,115376.0,7704
2202091,Caldeirão Grande do Piauí,PI,2020,171848.0,5781
2202091,Caldeirão Grande do Piauí,PI,2021,195079.0,5786
2202109,Campinas do Piauí,PI,2020,52413.0,5620
2202109,Campinas do Piauí,PI,2021,57496.0,5628
2202117,Campo Alegre do Fidalgo,PI,2020,47338.0,5069
2202117,Campo Alegre do Fidalgo,PI,2021,51371.0,5093
2202133,Campo Grande do Piauí,PI,2020,63116.0,5965
2202133,Campo Grande do Piauí,PI,2021,62135.0,5987
2202174,Campo Largo do Piauí,PI,2020,52036.0,7311
2202174,Campo Largo do Piauí,PI,2021,56554.0,7342
2202208,Campo Maior,PI,2020,659068.0,46893
2202208,Campo Maior,PI,2021,705863.0,46950
2202251,Canavieira,PI,2020,39107.0,3944
2202251,Canavieira,PI,2021,41948.0,3938
2202307,Canto do Buriti,PI,2020,261974.0,21258
2202307,Canto do Buriti,PI,2021,271388.0,21326
2202406,Capitão de Campos,PI,2020,98520.0,11445
2202406,Capitão de Campos,PI,2021,106410.0,11471
2202455,Capitão Gervásio Oliveira,PI,2020,38977.0,4114
2202455,Capitão Gervásio Oliveira,PI,2021,43675.0,4127
2202505,Caracol,PI,2020,102836.0,10964
2202505,Caracol,PI,2021,97485.0,11009
2202539,Caraúbas do Piauí,PI,2020,55080.0,5890
2202539,Caraúbas do Piauí,PI,2021,57437.0,5910
2202554,Caridade do Piauí,PI,2020,50196.0,5085
2202554,Caridade do Piauí,PI,2021,50031.0,5102
2202604,Castelo do Piauí,PI,2020,186224.0,19715
2202604,Castelo do Piauí,PI,2021,202443.0,19716
2202653,Caxingó,PI,2020,50234.0,5451
2202653,Caxingó,PI,2021,53140.0,5477
2202703,Cocal,PI,2020,252850.0,27845
2202703,Cocal,PI,2021,272767.0,27901
2202711,Cocal de Telha,PI,2020,44082.0,4899
2202711,Cocal de Telha,PI,2021,46961.0,4908
2202729,Cocal dos Alves,PI,2020,54412.0,6168
2202729,Cocal dos Alves,PI,2021,56960.0,6180
2202737,Coivaras,PI,2020,38878.0,4032
2202737,Coivaras,PI,2021,37708.0,4044
2202752,Colônia do Gurguéia,PI,2020,63539.0,6516
2202752,Colônia do Gurguéia,PI,2021,70559.0,6545
2202778,Colônia do Piauí,PI,2020,62545.0,7661
2202778,Colônia do Piauí,PI,2021,68111.0,7665
2202802,Conceição do Canindé,PI,2020,59520.0,4807
2202802,Conceição do Canindé,PI,2021,60446.0,4811
2202851,Coronel José Dias,PI,2020,43845.0,4685
2202851,Coronel José Dias,PI,2021,40760.0,4688
2202901,Corrente,PI,2020,516015.0,26709
2202901,Corrente,PI,2021,680693.0,26771
2203008,Cristalândia do Piauí,PI,2020,69091.0,8323
2203008,Cristalândia do Piauí,PI,2021,75069.0,8350
2203107,Cristino Castro,PI,2020,113903.0,10444
2203107,Cristino Castro,PI,2021,121550.0,10464
2203206,Curimatá,PI,2020,121756.0,11426
2203206,Curimatá,PI,2021,141390.0,11461
2203230,Currais,PI,2020,329609.0,4968
2203230,Currais,PI,2021,409013.0,4982
2203255,Curralinhos,PI,2020,34850.0,4459
2203255,Curralinhos,PI,2021,39660.0,4475
2203271,Curral Novo do Piauí,PI,2020,65306.0,5367
2203271,Curral Novo do Piauí,PI,2021,78394.0,5390
2203305,Demerval Lobão,PI,2020,196310.0,13840
2203305,Demerval Lobão,PI,2021,211639.0,13862
2203354,Dirceu Arcoverde,PI,2020,62126.0,7029
2203354,Dirceu Arcoverde,PI,2021,67492.0,7046
2203404,Dom Expedito Lopes,PI,2020,78829.0,6922
2203404,Dom Expedito Lopes,PI,2021,78045.0,6940
2203420,Domingos Mourão,PI,2020,41668.0,4354
2203420,Domingos Mourão,PI,2021,46532.0,4352
2203453,Dom Inocêncio,PI,2020,96045.0,9565
2203453,Dom Inocêncio,PI,2021,164346.0,9574
2203503,Elesbão Veloso,PI,2020,152702.0,14575
2203503,Elesbão Veloso,PI,2021,164731.0,14550
2203602,Eliseu Martins,PI,2020,51582.0,4930
2203602,Eliseu Martins,PI,2021,55592.0,4943
2203701,Esperantina,PI,2020,432931.0,39848
2203701,Esperantina,PI,2021,456546.0,39953
2203750,Fartura do Piauí,PI,2020,42078.0,5319
2203750,Fartura do Piauí,PI,2021,46774.0,5330
2203800,Flores do Piauí,PI,2020,44102.0,4462
2203800,Flores do Piauí,PI,2021,48120.0,4461
2203859,Floresta do Piauí,PI,2020,24381.0,2560
2203859,Floresta do Piauí,PI,2021,25258.0,2561
2203909,Floriano,PI,2020,1310020.0,60025
2203909,Floriano,PI,2021,1469174.0,60111
2204006,Francinópolis,PI,2020,41649.0,5347
2204006,Francinópolis,PI,2021,44797.0,5345
2204105,Francisco Ayres,PI,2020,42582.0,4323
2204105,Francisco Ayres,PI,2021,46763.0,4300
2204154,Francisco Macedo,PI,2020,34745.0,3200
2204154,Francisco Macedo,PI,2021,32841.0,3216
2204204,Francisco Santos,PI,2020,82914.0,9372
2204204,Francisco Santos,PI,2021,83027.0,9423
2204303,Fronteiras,PI,2020,118307.0,11659
2204303,Fronteiras,PI,2021,112454.0,11690
2204352,Geminiano,PI,2020,56312.0,5460
2204352,Geminiano,PI,2021,59253.0,5477
2204402,Gilbués,PI,2020,306922.0,10694
2204402,Gilbués,PI,2021,416894.0,10698
2204501,Guadalupe,PI,2020,552496.0,10497
2204501,Guadalupe,PI,2021,637192.0,10496
2204550,Guaribas,PI,2020,42452.0,4568
2204550,Guaribas,PI,2021,45099.0,4573
2204600,Hugo Napoleão,PI,2020,31901.0,3879
2204600,Hugo Napoleão,PI,2021,34066.0,3880
2204659,Ilha Grande,PI,2020,80050.0,9457
2204659,Ilha Grande,PI,2021,119725.0,9487
2204709,Inhuma,PI,2020,152854.0,15319
2204709,Inhuma,PI,2021,163624.0,15330
2204808,Ipiranga do Piauí,PI,2020,79805.0,9838
2204808,Ipiranga do Piauí,PI,2021,82417.0,9863
2204907,Isaías Coelho,PI,2020,79906.0,8566
2204907,Isaías Coelho,PI,2021,80798.0,8582
2205003,Itainópolis,PI,2020,103985.0,11551
2205003,Itainópolis,PI,2021,108192.0,11571
2205102,Itaueira,PI,2020,127608.0,11028
2205102,Itaueira,PI,2021,131853.0,11037
2205151,Jacobina do Piauí,PI,2020,58623.0,5729
2205151,Jacobina do Piauí,PI,2021,69064.0,5718
2205201,Jaicós,PI,2020,193502.0,19170
2205201,Jaicós,PI,2021,191771.0,19233
2205250,Jardim do Mulato,PI,2020,34788.0,4513
2205250,Jardim do Mulato,PI,2021,39632.0,4522
2205276,Jatobá do Piauí,PI,2020,51511.0,4875
2205276,Jatobá do Piauí,PI,2021,58747.0,4885
