municipio_id,municipio_nome,uf,ano,pib_total_mil_reais
2200053,Acauã,PI,2020,62584.0
2200053,Acauã,PI,2021,73561.0
2200103,Agricolândia,PI,2020,43349.0
2200103,Agricolândia,PI,2021,47283.0
2200202,Água Branca,PI,2020,218514.0
2200202,Água Branca,PI,2021,243971.0
2200251,Alagoinha do Piauí,PI,2020,67200.0
2200251,Alagoinha do Piauí,PI,2021,65442.0
2200277,Alegrete do Piauí,PI,2020,55057.0
2200277,Alegrete do Piauí,PI,2021,48184.0
2200301,Alto Longá,PI,2020,119487.0
2200301,Alto Longá,PI,2021,130955.0
2200400,Altos,PI,2020,476989.0
2200400,Altos,PI,2021,537774.0
2200459,Alvorada do Gurguéia,PI,2020,74585.0
2200459,Alvorada do Gurguéia,PI,2021,82125.0
2200509,Amarante,PI,2020,182047.0
2200509,Amarante,PI,2021,192592.0
2200608,Angical do Piauí,PI,2020,66750.0
2200608,Angical do Piauí,PI,2021,66748.0
2200707,Anísio de Abreu,PI,2020,92246.0
2200707,Anísio de Abreu,PI,2021,98945.0
2200806,Antônio Almeida,PI,2020,133082.0
2200806,Antônio Almeida,PI,2021,143815.0
2200905,Aroazes,PI,2020,55335.0
2200905,Aroazes,PI,2021,57305.0
2200954,Aroeiras do Itaim,PI,2020,25690.0
2200954,Aroeiras do Itaim,PI,2021,24625.0
2201002,Arraial,PI,2020,44231.0
2201002,Arraial,PI,2021,48922.0
2201051,Assunção do Piauí,PI,2020,55220.0
2201051,Assunção do Piauí,PI,2021,64266.0
2201101,Avelino Lopes,PI,2020,89540.0
2201101,Avelino Lopes,PI,2021,97601.0
2201150,Baixa Grande do Ribeiro,PI,2020,1229454.0
2201150,Baixa Grande do Ribeiro,PI,2021,1768579.0
2201176,Barra D'Alcântara,PI,2020,40152.0
2201176,Barra D'Alcântara,PI,2021,38963.0
2201200,Barras,PI,2020,468844.0
2201200,Barras,PI,2021,497599.0
2201309,Barreiras do Piauí,PI,2020,125685.0
2201309,Barreiras do Piauí,PI,2021,163172.0
2201408,Barro Duro,PI,2020,85179.0
2201408,Barro Duro,PI,2021,89830.0
2201507,Batalha,PI,2020,218227.0
2201507,Batalha,PI,2021,250803.0
2201556,Bela Vista do Piauí,PI,2020,44082.0
2201556,Bela Vista do Piauí,PI,2021,46876.0
2201572,Belém do Piauí,PI,2020,39783.0
2201572,Belém do Piauí,PI,2021,41264.0
2201606,Beneditinos,PI,2020,88636.0
2201606,Beneditinos,PI,2021,91895.0
2201705,Bertolínia,PI,2020,69486.0
2201705,Bertolínia,PI,2021,72158.0
