municipio_id,municipio_nome,uf,ano,populacao_estimada
2200053,Acauã,PI,2019,7084
2200053,Acauã,PI,2020,7102
2200053,Acauã,PI,2021,7119
2200053,Acauã,PI,2024,6515
2200103,Agricolândia,PI,2019,5139
2200103,Agricolândia,PI,2020,5131
2200103,Agricolândia,PI,2021,5123
2200103,Agricolândia,PI,2024,5023
2200202,Água Branca,PI,2019,17411
2200202,Água Branca,PI,2020,17470
2200202,Água Branca,PI,2021,17525
2200202,Água Branca,PI,2024,18033
2200251,Alagoinha do Piauí,PI,2019,7651
2200251,Alagoinha do Piauí,PI,2020,7665
2200251,Alagoinha do Piauí,PI,2021,7678
2200251,Alagoinha do Piauí,PI,2024,6901
2200277,Alegrete do Piauí,PI,2019,4915
2200277,Alegrete do Piauí,PI,2020,4918
2200277,Alegrete do Piauí,PI,2021,4921
2200277,Alegrete do Piauí,PI,2024,4713
2200301,Alto Longá,PI,2019,14304
2200301,Alto Longá,PI,2020,14339
2200301,Alto Longá,PI,2021,14371
2200301,Alto Longá,PI,2024,13734
2200400,Altos,PI,2019,40524
2200400,Altos,PI,2020,40605
2200400,Altos,PI,2021,40681
2200400,Altos,PI,2024,49637
2200459,Alvorada do Gurguéia,PI,2019,5419
2200459,Alvorada do Gurguéia,PI,2020,5445
2200459,Alvorada do Gurguéia,PI,2021,5469
2200459,Alvorada do Gurguéia,PI,2024,5459
2200509,Amarante,PI,2019,17598
2200509,Amarante,PI,2020,17604
2200509,Amarante,PI,2021,17609
2200509,Amarante,PI,2024,17577
2200608,Angical do Piauí,PI,2019,6788
2200608,Angical do Piauí,PI,2020,6783
2200608,Angical do Piauí,PI,2021,6779
2200608,Angical do Piauí,PI,2024,6982
2200707,Anísio de Abreu,PI,2019,9880
2200707,Anísio de Abreu,PI,2020,9938
2200707,Anísio de Abreu,PI,2021,9994
2200707,Anísio de Abreu,PI,2024,9631
2200806,Antônio Almeida,PI,2019,3164
2200806,Antônio Almeida,PI,2020,3170
2200806,Antônio Almeida,PI,2021,3175
